gene,mutual_information
DES,0.21611585938595068
ACTG2,0.1910181131877411
SMTN,0.17206537387986343
FKBP10,0.1461543239177967
GSTP1,0.1287302762528375
PALLD,0.1194406795292755
SPP1,0.1121977746369427
HSPB8,0.11037585545659434
NENF,0.10927748755223554
SLC3A2,0.10826235661245409
GNB1,0.10765293106599838
GPRC5A,0.10747180440866
IFI27,0.10677302248282983
HNF4A,0.10638265001937341
MED1,0.10632288298344861
NR2F2,0.10626541025999181
GSN,0.10542624811250079
ARHGAP23,0.10418043503965402
SDF2L1,0.10382313956242806
CPA1,0.10342239099742745
LRRC47,0.10300006287789687
IGFBP2,0.10258232952943258
WNK1,0.09944037955991325
SLC16A1,0.09775568673005308
SPINT2,0.0973870492236033
RB1CC1,0.09704076815761864
ASXL1,0.09608974364010736
TBL1XR1,0.09556183491256176
SDC3,0.09497717729705135
TM9SF2,0.09416617131137484
PPP1CA,0.09408072730893302
KDELR2,0.09322011178166267
LRRC41,0.09197043663724713
CFL1,0.09194142262814609
GTPBP2,0.09143693180380064
TLN1,0.09140730267108266
YPEL5,0.09115616443084562
UBXN6,0.09064569646158693
PFN2,0.09058069811414526
CAPZB,0.09052186438040932
TACR2,0.08987637809411853
CEBPD,0.08977942506564585
CRTAP,0.08907621456621628
DDR1,0.08890663025021839
CARS2,0.08841720927964225
MYDGF,0.08840736066652344
LUC7L3,0.08832996391811232
RBM38,0.08776609751823106
VIRMA,0.08752017277446367
CLN6,0.08691781523109343
