gene,mutual_information
TAGLN,0.20632990362094805
MYH11,0.13532492651990857
SYNPO2,0.0922379450983124
LMOD1,0.09036362421068977
DDIT4,0.08521494769813165
ZNF549,0.07929398182097813
NKX6-3,0.07032701613995052
LAMB2,0.06993741232729933
DNASE1L1,0.06926580842392394
MOXD1,0.06756745931440866
SLC3A2,0.06652472152348299
SYNGR2,0.06593744671438362
CD3E,0.06585483698315153
CPE,0.06533136145100649
TAF11L6,0.06510354410583563
BBOF1,0.06463284684165149
LTBP3,0.06455924927846901
PCDHGA11,0.064395676091074
ITGA6,0.06410662339662121
RGMA,0.06395796935823572
CLEC4D,0.06293933615714487
FLNA,0.06134094506964605
KRT8,0.060365114744174164
CDC23,0.059910778974696655
EFCAB7,0.059079582395727304
CBARP,0.05873314292475129
OCSTAMP,0.05868613259326283
PEX5L,0.05833224872348364
CYP7B1,0.0565517437292975
GBP4,0.056525358516995805
PCM1,0.05646665021628072
AGAP1,0.05576213899547389
GTF2B,0.05564444999149032
CLTB,0.05482551219327547
IGSF21,0.05477807251946354
RNF25,0.054749050272624
LRRC38,0.054683808261203115
PIP5K1C,0.054587398507339735
PLAAT3,0.054311794204224384
AP5M1,0.0539633766058123
RNF34,0.05372420726889926
DEFB129,0.05358390970744509
UHRF2,0.053525649052378554
QRICH2,0.052901968880100014
C11orf24,0.05289858133868508
SMIM17,0.05286678958557456
ZNF516,0.05238986483293573
RBM34,0.05221884875998173
OR2M4,0.05206994240680185
STAC2,0.05169280460465098
