cell_type,R_Post_mean,NR_Post_mean,log2FC,pvalue
Low_Confidence,0.13150020451042693,0.15772087357774817,0.260497284815627,0.3333333333333333
Acinar,0.08053861670080358,0.02312835471024627,-1.756753938880219,0.3333333333333333
Ductal_Epithelial,0.07987959545815779,0.17786941618203855,1.1450590442990511,0.3333333333333333
NK_cells,0.07456426837366777,0.03718832146130664,-0.9845726882742444,0.3333333333333333
Macrophage,0.06597949608008721,0.08182072452660219,0.3062723016728168,0.3333333333333333
Endothelial,0.05345770366672421,0.07188085352667603,0.4204037058790819,0.3333333333333333
Unknown,0.03267423433006894,0.006316208797528972,-2.202476988786031,0.3333333333333333
CAF_iCAF,0.06114006398143699,0.057942270832349554,-0.0762210835557806,0.6666666666666666
T_cells,0.06824738452159335,0.057510313104271626,-0.24306864307807124,0.6666666666666666
Myeloid,0.05258328551055289,0.059033819232804326,0.16399240816577138,0.6666666666666666
B_cells,0.05577730291960019,0.034381958394025365,-0.6823004151317446,0.6666666666666666
Endocrine,0.08971786892359086,0.06807889903147026,-0.39314166035855136,1.0
CAF_myCAF,0.10318950729316842,0.11418274324335778,0.1447145932823874,1.0
Stellate_PSC,0.05075046773012089,0.052945243379574305,0.05992385371323247,1.0
