cell_type,R_Pre_mean,NR_Pre_mean,log2FC,pvalue
Low_Confidence,0.1608142584829489,0.2088142707240294,0.37477406917466727,1.0
Ductal_Epithelial,0.13479297265464577,0.11227701993704092,-0.2615536044395435,1.0
CAF_myCAF,0.09422194757192781,0.08289611752360965,-0.1826900882583498,1.0
NK_cells,0.07343978830403013,0.07240293809024134,-0.02023614178872045,1.0
B_cells,0.07133600148776084,0.05456453305351522,-0.3805495506918741,1.0
T_cells,0.0685629160112512,0.07030430220356768,0.03567071516856726,1.0
Macrophage,0.07096938854579127,0.06400839454354669,-0.14675737562864768,1.0
Endothelial,0.060934267316528866,0.05771248688352571,-0.07707048604604812,1.0
CAF_iCAF,0.05814520003409452,0.05981112277019937,0.04007413610057108,1.0
Myeloid,0.05393762640155595,0.04512067156348373,-0.25238105940341615,1.0
Endocrine,0.051483208449241785,0.05876180482686254,0.18736779992414046,1.0
Stellate_PSC,0.039052269222722445,0.03462749213011543,-0.16889304936133498,1.0
Acinar,0.04765290229595592,0.040923399790136414,-0.21477015140254826,1.0
Unknown,0.014657253221544635,0.03777544596012592,1.3083122335390642,1.0
