names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
TAF6L,60.12588,0.49592787,0.0,0.0,R_Post_vs_NR_Post,100.0
APOO,60.037563,1.4048227,0.0,0.0,R_Post_vs_NR_Post,100.0
SLC39A4,59.68211,2.4562092,0.0,0.0,R_Post_vs_NR_Post,100.0
EVC2,59.640213,6.398474,0.0,0.0,R_Post_vs_NR_Post,100.0
ZNF84,59.600136,1.656854,0.0,0.0,R_Post_vs_NR_Post,100.0
C1orf54,59.59528,9.572702,0.0,0.0,R_Post_vs_NR_Post,100.0
TSNARE1,59.556396,4.935996,0.0,0.0,R_Post_vs_NR_Post,100.0
CDK19,59.51237,7.107394,0.0,0.0,R_Post_vs_NR_Post,100.0
SOX13,59.466663,4.54499,0.0,0.0,R_Post_vs_NR_Post,100.0
MAP4K1,59.421127,3.8174155,0.0,0.0,R_Post_vs_NR_Post,100.0
ATP5MD,59.372955,2.6506624,0.0,0.0,R_Post_vs_NR_Post,100.0
EP400,59.25215,4.444975,0.0,0.0,R_Post_vs_NR_Post,100.0
CALM1,58.972904,23.294424,0.0,0.0,R_Post_vs_NR_Post,100.0
FHOD1,58.946056,21.530262,0.0,0.0,R_Post_vs_NR_Post,100.0
CABP4,58.940037,20.796293,0.0,0.0,R_Post_vs_NR_Post,100.0
RANBP17,58.732616,12.651266,0.0,0.0,R_Post_vs_NR_Post,100.0
FAM214B,58.729618,20.051489,0.0,0.0,R_Post_vs_NR_Post,100.0
FBXL2,58.682545,5.422274,0.0,0.0,R_Post_vs_NR_Post,100.0
ATP5MPL,58.600636,15.371717,0.0,0.0,R_Post_vs_NR_Post,100.0
NPIPB15,58.465435,4.646959,0.0,0.0,R_Post_vs_NR_Post,100.0
PARP3,58.30075,-1.2158718,0.0,0.0,R_Post_vs_NR_Post,100.0
COA1,58.254124,,0.0,0.0,R_Post_vs_NR_Post,100.0
RNF207,58.23748,,0.0,0.0,R_Post_vs_NR_Post,100.0
REPS2,58.20456,,0.0,0.0,R_Post_vs_NR_Post,100.0
PADI2,58.195213,,0.0,0.0,R_Post_vs_NR_Post,100.0
KIAA1755,58.169323,,0.0,0.0,R_Post_vs_NR_Post,100.0
TREM2,58.16686,-1.2312177,0.0,0.0,R_Post_vs_NR_Post,100.0
CALB2,58.05958,20.362604,0.0,0.0,R_Post_vs_NR_Post,100.0
GALC,57.99471,,0.0,0.0,R_Post_vs_NR_Post,100.0
PRDX3,57.953094,,0.0,0.0,R_Post_vs_NR_Post,100.0
FMNL3,57.95147,16.895674,0.0,0.0,R_Post_vs_NR_Post,100.0
RAD54L2,57.950512,,0.0,0.0,R_Post_vs_NR_Post,100.0
TMEM258,57.896416,21.520144,0.0,0.0,R_Post_vs_NR_Post,100.0
SUPT4H1,57.867832,-0.93261284,0.0,0.0,R_Post_vs_NR_Post,100.0
POLB,57.78106,12.412962,0.0,0.0,R_Post_vs_NR_Post,100.0
TMBIM6,57.748844,22.617107,0.0,0.0,R_Post_vs_NR_Post,100.0
SLC9A8,57.694576,-1.7127726,0.0,0.0,R_Post_vs_NR_Post,100.0
LAMP5,57.689877,,0.0,0.0,R_Post_vs_NR_Post,100.0
CDA,57.687813,,0.0,0.0,R_Post_vs_NR_Post,100.0
MCOLN1,57.612316,-3.3834674,0.0,0.0,R_Post_vs_NR_Post,100.0
AP2B1,57.57379,,0.0,0.0,R_Post_vs_NR_Post,100.0
PLPP4,57.465946,,0.0,0.0,R_Post_vs_NR_Post,100.0
GORASP1,57.43969,-3.5232658,0.0,0.0,R_Post_vs_NR_Post,100.0
ANKS6,57.428646,,0.0,0.0,R_Post_vs_NR_Post,100.0
GIPR,57.39689,,0.0,0.0,R_Post_vs_NR_Post,100.0
LAMTOR5,57.35766,20.66889,0.0,0.0,R_Post_vs_NR_Post,100.0
NR2C1,57.352364,,0.0,0.0,R_Post_vs_NR_Post,100.0
CERK,57.35185,-0.7829657,0.0,0.0,R_Post_vs_NR_Post,100.0
PNPLA7,57.34883,,0.0,0.0,R_Post_vs_NR_Post,100.0
MAP3K10,57.338512,18.084103,0.0,0.0,R_Post_vs_NR_Post,100.0
F2RL1,57.311493,,0.0,0.0,R_Post_vs_NR_Post,100.0
AQP5,57.185127,,0.0,0.0,R_Post_vs_NR_Post,100.0
SEMA3A,57.11817,,0.0,0.0,R_Post_vs_NR_Post,100.0
LSM12,57.08783,,0.0,0.0,R_Post_vs_NR_Post,100.0
SAMD12,57.085728,11.828615,0.0,0.0,R_Post_vs_NR_Post,100.0
ABO,57.049404,,0.0,0.0,R_Post_vs_NR_Post,100.0
XPO1,57.03639,16.933186,0.0,0.0,R_Post_vs_NR_Post,100.0
ARL6IP1,56.945282,,0.0,0.0,R_Post_vs_NR_Post,100.0
ETV5,56.9166,,0.0,0.0,R_Post_vs_NR_Post,100.0
ZNF280D,56.88209,3.9782288,0.0,0.0,R_Post_vs_NR_Post,100.0
