names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
SPDYE5,45.94199,0.18365826,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SEPTIN3,45.941906,0.05021316,0.0,0.0,R_Pre_vs_NR_Pre,100.0
ZNF430,45.941734,0.028894816,0.0,0.0,R_Pre_vs_NR_Pre,100.0
GOLGA8R,45.845097,0.13909529,0.0,0.0,R_Pre_vs_NR_Pre,100.0
ELOVL2,45.652107,-0.021560917,0.0,0.0,R_Pre_vs_NR_Pre,100.0
TCP11X1,45.65182,0.46995053,0.0,0.0,R_Pre_vs_NR_Pre,100.0
TYW1B,45.651688,0.20034719,0.0,0.0,R_Pre_vs_NR_Pre,100.0
XG,45.65155,0.1698054,0.0,0.0,R_Pre_vs_NR_Pre,100.0
AKR1C4,45.651314,0.09976952,0.0,0.0,R_Pre_vs_NR_Pre,100.0
DNASE1L2,45.651245,0.3852829,0.0,0.0,R_Pre_vs_NR_Pre,100.0
LGALS9C,45.555233,0.21644647,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SEMA3G,45.55488,0.20367022,0.0,0.0,R_Pre_vs_NR_Pre,100.0
FAM149B1,45.36184,0.5734669,0.0,0.0,R_Pre_vs_NR_Pre,100.0
MS4A2,45.264473,0.6729045,0.0,0.0,R_Pre_vs_NR_Pre,100.0
GRAMD2A,45.170086,0.14338706,0.0,0.0,R_Pre_vs_NR_Pre,100.0
NLRP7,45.169594,0.6724908,0.0,0.0,R_Pre_vs_NR_Pre,100.0
RAB36,45.07468,0.15127237,0.0,0.0,R_Pre_vs_NR_Pre,100.0
RAPGEF4,45.072838,0.42522156,0.0,0.0,R_Pre_vs_NR_Pre,100.0
CCZ1,45.07047,1.2181432,0.0,0.0,R_Pre_vs_NR_Pre,100.0
FSTL4,44.97691,0.6320145,0.0,0.0,R_Pre_vs_NR_Pre,100.0
FAIM2,44.883823,-0.12930834,0.0,0.0,R_Pre_vs_NR_Pre,100.0
KRTAP5-2,44.88357,-0.04317242,0.0,0.0,R_Pre_vs_NR_Pre,100.0
RBBP4,44.883198,-0.0755382,0.0,0.0,R_Pre_vs_NR_Pre,100.0
HIST1H4I,44.882504,-0.055962224,0.0,0.0,R_Pre_vs_NR_Pre,100.0
TPCN2,44.8822,0.2999512,0.0,0.0,R_Pre_vs_NR_Pre,100.0
NBPF1,44.880676,0.6771202,0.0,0.0,R_Pre_vs_NR_Pre,100.0
USHBP1,44.78681,0.19638279,0.0,0.0,R_Pre_vs_NR_Pre,100.0
CPZ,44.78615,0.45584494,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SPRR2A,44.784073,1.7374191,0.0,0.0,R_Pre_vs_NR_Pre,100.0
PHF21B,44.78301,0.93547446,0.0,0.0,R_Pre_vs_NR_Pre,100.0
FBN3,44.688416,0.42736813,0.0,0.0,R_Pre_vs_NR_Pre,100.0
WSCD2,44.595787,-0.62768066,0.0,0.0,R_Pre_vs_NR_Pre,100.0
DDC,44.594585,-0.5424264,0.0,0.0,R_Pre_vs_NR_Pre,100.0
FAM229A,44.593723,0.53945005,0.0,0.0,R_Pre_vs_NR_Pre,100.0
PLA1A,44.499435,-0.46560964,0.0,0.0,R_Pre_vs_NR_Pre,100.0
CENPK,44.498657,0.5904073,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SLC5A5,44.498558,1.3515325,0.0,0.0,R_Pre_vs_NR_Pre,100.0
EFR3B,44.490402,,0.0,0.0,R_Pre_vs_NR_Pre,100.0
INCA1,44.40716,-1.1415526,0.0,0.0,R_Pre_vs_NR_Pre,100.0
NUDT18,44.40251,0.6654213,0.0,0.0,R_Pre_vs_NR_Pre,100.0
TMEM40,44.39493,2.0698485,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SDK2,44.30951,-0.37307882,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SLC25A34,44.308968,-0.25652197,0.0,0.0,R_Pre_vs_NR_Pre,100.0
UPK2,44.30844,1.5062175,0.0,0.0,R_Pre_vs_NR_Pre,100.0
CHI3L2,44.30819,0.4141381,0.0,0.0,R_Pre_vs_NR_Pre,100.0
RNF112,44.307293,0.7331509,0.0,0.0,R_Pre_vs_NR_Pre,100.0
GEMIN8,44.305634,1.5915431,0.0,0.0,R_Pre_vs_NR_Pre,100.0
ETV7,44.21568,-0.57641333,0.0,0.0,R_Pre_vs_NR_Pre,100.0
RNASEH2A,44.215256,0.88094497,0.0,0.0,R_Pre_vs_NR_Pre,100.0
SLFN13,44.212803,0.28616205,0.0,0.0,R_Pre_vs_NR_Pre,100.0
CS,44.21089,2.006041,0.0,0.0,R_Pre_vs_NR_Pre,100.0
