cells_before,cells_after,cells_retained_pct,genes_before,genes_after,genes_retained_pct,sample,platform
2596,953,36.71032357473035,18085,17958,99.29776057506221,YP03A,Visium
4791,863,18.012940930912126,18085,14611,80.79071053359137,YP03C,Visium
1194,134,11.222780569514237,18085,10076,55.7146806745922,YP04A,Visium
3991,1914,47.95790528689551,18085,17741,98.09787116394803,YP04C,Visium
1772,1426,80.47404063205418,18085,18020,99.64058612109483,YP12A,Visium
4844,914,18.868703550784478,18085,17622,97.43986729333702,YP12C,Visium
1910,1448,75.81151832460733,18085,18015,99.6129388996406,YP15A,Visium
3245,1407,43.35901386748844,18085,17965,99.33646668509815,YP15C,Visium
19947,6026,30.210056650122823,387,346,89.40568475452196,A01,G4X
26261,7737,29.46193975857736,387,347,89.66408268733849,B01,G4X
