source,target,lr_pair,pvalue,mean
CAF_iCAF,T_cells,"('CXCL12', 'CD4')",0.0,1.28969144821167
CAF_iCAF,Macrophage,"('IL6', 'MSR1')",0.0,1.2640011310577393
T_cells,B_cells,"('PTPN6', 'CD79B')",0.0,1.17887282371521
B_cells,B_cells,"('PTPN6', 'CD79B')",0.0,1.1700714826583862
Endocrine,Stellate_PSC,"('INS', 'PDGFRB')",0.0,1.1692540645599365
NK_cells,B_cells,"('FYN', 'CD79B')",0.0,1.119424819946289
Endocrine,B_cells,"('FYN', 'CD79B')",0.0,1.117213487625122
T_cells,T_cells,"('CD8A', 'CD4')",0.0,1.1169430017471313
CAF_iCAF,CAF_iCAF,"('IL6', 'CXCL12')",0.0,1.112866759300232
CAF_myCAF,B_cells,"('PTPN6', 'CD79B')",0.0,1.1037728786468506
Endocrine,B_cells,"('PTPN6', 'CD79B')",0.0,1.103140115737915
Stellate_PSC,B_cells,"('FYN', 'CD79B')",0.0,1.1018186807632446
Macrophage,B_cells,"('FYN', 'CD79B')",0.0,1.099724531173706
Endocrine,Stellate_PSC,"('GCG', 'GCGR')",0.0,1.0851432085037231
Endothelial,B_cells,"('FYN', 'CD79B')",0.0,1.084270715713501
Endocrine,Unknown,"('GCG', 'TSHR')",0.0,1.0840331315994263
CAF_myCAF,B_cells,"('FYN', 'CD79B')",0.0,1.078833818435669
Endocrine,Endocrine,"('GCG', 'GIPR')",0.0,1.0631740093231201
Endocrine,Macrophage,"('GCG', 'GSK3A')",0.0,1.039575457572937
Endocrine,Endothelial,"('GCG', 'RAMP2')",0.0,1.030399203300476
Endocrine,Endothelial,"('GCG', 'SIK2')",0.0,1.023693323135376
Endocrine,Stellate_PSC,"('GCG', 'MAP2K1')",0.0,1.0201841592788696
Stellate_PSC,Myeloid,"('VCAM1', 'ITGAM')",0.0,1.0163151025772095
Endocrine,NK_cells,"('GCG', 'GPR84')",0.0,1.015766978263855
Endocrine,Myeloid,"('GCG', 'RAMP3')",0.0,1.0133943557739258
Endocrine,B_cells,"('GCG', 'PIK3CG')",0.0,1.0086264610290527
Stellate_PSC,Myeloid,"('THY1', 'ITGAM')",0.0,1.0008502006530762
Acinar,B_cells,"('PRSS1', 'PARD3')",0.0,0.995521068572998
Endocrine,CAF_myCAF,"('GCG', 'MTOR')",0.0,0.9948895573616028
Acinar,CAF_iCAF,"('PRSS1', 'F2RL3')",0.0,0.9930152297019958
