source,target,lr_pair,pvalue,mean
CAF_iCAF,CAF_iCAF,"('IL6', 'CXCL12')",0.0,0.8996024131774902
Acinar,B_cells,"('FYN', 'MS4A1')",0.0,0.898901104927063
Unknown,B_cells,"('FYN', 'MS4A1')",0.0,0.8839826583862305
Unknown,Myeloid,"('CSF1', 'CSF1R')",0.0,0.8821843862533569
Stellate_PSC,Acinar,"('PI3', 'CELA2A')",0.0,0.8776664733886719
Ductal_Epithelial,Acinar,"('PI3', 'CELA2A')",0.0,0.8671848177909851
Unknown,Acinar,"('PI3', 'CELA2A')",0.0,0.8611258268356323
Acinar,B_cells,"('CXCL8', 'CD79A')",0.0,0.8588172197341919
Endothelial,Acinar,"('VWF', 'ITGB5')",0.0,0.8553453087806702
Acinar,B_cells,"('FYN', 'CD79A')",0.0,0.8514117002487183
Acinar,Myeloid,"('CSF3', 'CSF1R')",0.0,0.8444282412528992
Endothelial,B_cells,"('FYN', 'MS4A1')",0.0,0.8394526243209839
Unknown,B_cells,"('FYN', 'CD79A')",0.0,0.8364932537078857
Endothelial,Stellate_PSC,"('PGF', 'PDGFRB')",0.0,0.8334090113639832
B_cells,B_cells,"('FYN', 'MS4A1')",0.0,0.8232926726341248
Endothelial,Ductal_Epithelial,"('VWF', 'GP1BB')",0.0,0.8225964307785034
Acinar,B_cells,"('FYN', 'CD79B')",0.0,0.8174886107444763
Ductal_Epithelial,B_cells,"('FYN', 'MS4A1')",0.0,0.810521125793457
Endothelial,Stellate_PSC,"('VWF', 'ITGAV')",0.0,0.8071340322494507
Myeloid,Myeloid,"('IL34', 'CSF1R')",0.0,0.8062636256217957
Endothelial,Acinar,"('VWF', 'GP5')",0.0,0.8040037155151367
Unknown,B_cells,"('FYN', 'CD79B')",0.0,0.8025701642036438
Acinar,B_cells,"('FYN', 'CD19')",0.0,0.8010976314544678
Acinar,Stellate_PSC,"('PRSS1', 'PARD3')",0.0,0.7996394038200378
Endothelial,Unknown,"('VWF', 'ITGB4')",0.0,0.7937648892402649
Endothelial,B_cells,"('FYN', 'CD79A')",0.0,0.7919632196426392
CAF_iCAF,B_cells,"('CXCL8', 'CD79A')",0.0,0.7910260558128357
Unknown,Myeloid,"('PLG', 'ITGAM')",0.0,0.78778076171875
Unknown,B_cells,"('FYN', 'CD19')",0.0,0.7861791849136353
Endothelial,Myeloid,"('CSF2', 'CSF1R')",0.0,0.7861236333847046
