sample,response,domain,count,proportion
YP03A,NR,2,179,0.18782791185729275
YP03A,NR,1,297,0.3116474291710388
YP03A,NR,4,64,0.06715634837355719
YP03A,NR,0,300,0.3147953830010493
YP03A,NR,3,113,0.11857292759706191
YP03C,NR,0,623,0.7219003476245655
YP03C,NR,1,135,0.1564310544611819
YP03C,NR,2,90,0.10428736964078796
YP03C,NR,3,15,0.01738122827346466
YP04C,NR,0,633,0.33072100313479624
YP04C,NR,1,601,0.31400208986415884
YP04C,NR,3,133,0.06948798328108673
YP04C,NR,2,547,0.2857889237199582
YP12A,R,0,792,0.5553997194950911
YP12A,R,1,425,0.2980364656381487
YP12A,R,2,209,0.14656381486676018
YP12C,R,0,340,0.37199124726477023
YP12C,R,1,296,0.3238512035010941
YP12C,R,3,79,0.08643326039387308
YP12C,R,2,127,0.1389496717724289
YP12C,R,4,72,0.0787746170678337
YP15A,R,1,241,0.1664364640883978
YP15A,R,4,149,0.10290055248618785
YP15A,R,0,633,0.43715469613259667
YP15A,R,3,160,0.11049723756906077
YP15A,R,2,223,0.15400552486187846
YP15A,R,5,23,0.015883977900552487
YP15A,R,6,19,0.013121546961325966
YP15C,R,0,1039,0.738450604122246
YP15C,R,1,368,0.2615493958777541
