,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,sample
HMGCS2,0.41376758863900714,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.000494979352721463,0.0,0.0,0.016501650165016504,YP03A
GBP6,0.40798164176103346,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.0003979919765411519,0.0,0.0,0.016501650165016504,YP03A
TACSTD2,0.3111516938717005,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00038597459358296997,0.0,0.0,0.016501650165016504,YP03A
C1QB,0.29791700788390546,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.0004994903935999452,0.0,0.0,0.016501650165016504,YP03A
C1QA,0.2932471684021235,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.0004650669621281761,0.0,0.0,0.016501650165016504,YP03A
PLA2G2A,0.271413823090411,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00042045649027647435,0.0,0.0,0.016501650165016504,YP03A
VAV3,0.2452642567556797,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00047813729289455914,0.0,0.0,0.016501650165016504,YP03A
CAMK2N1,0.22151244868802225,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.000340887155416195,0.0,0.0,0.016501650165016504,YP03A
TMEM54,0.21814586871194838,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00040810891101588997,0.0,0.0,0.016501650165016504,YP03A
LMO4,0.21118216374981108,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.0003210457251539277,0.0,0.0,0.016501650165016504,YP03A
SLC35D1,0.2005864471044035,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.0005073437104014761,0.0,0.0,0.016501650165016504,YP03A
IFFO2,0.1977665458174277,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00030675265625318426,0.0,0.0,0.016501650165016504,YP03A
DHRS3,0.18901760168461243,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00028749818573702105,0.0,0.0,0.016501650165016504,YP03A
DDAH1,0.18390807426601039,0.0,0.0004923839314152941,0.0,0.009900990099009901,0.00034568672352453347,0.0,0.0,0.016501650165016504,YP03A
GBP4,0.17583950261662926,7.771561172376096e-16,0.0004923839314152941,0.0,0.009900990099009901,0.0003513308863126982,5.181040781584064e-15,0.0,0.016501650165016504,YP03A
TSPAN1,0.1713617462715557,3.885780586188048e-15,0.0004923839314152941,0.0,0.009900990099009901,0.00032897690988016386,2.42861286636753e-14,0.0,0.016501650165016504,YP03A
PHGDH,0.16983174066326107,6.772360450213455e-15,0.0004923839314152941,0.0,0.009900990099009901,0.00031833757873534515,3.983741441302032e-14,0.0,0.016501650165016504,YP03A
