gene,mean_metaplasia,mean_cancer,log2fc,pval,stat,n_metaplasia,n_cancer,qval_bh
IL1B,8.054452,7.738848,0.05766755,0.055327025915261216,55.0,7,10,1.0
MSH6,8.24714,8.134142,0.019903723,0.055327025915261216,55.0,7,10,1.0
DMBT1,8.907317,8.538578,0.060995188,0.055327025915261216,55.0,7,10,1.0
FN1,8.309714,8.196291,0.01982773,0.08782394076511724,53.0,7,10,1.0
TFF3,7.7633166,7.37779,0.07348441,0.08782394076511724,53.0,7,10,1.0
CEACAM6,8.38208,8.177774,0.03560005,0.10880296174413821,52.0,7,10,1.0
WRN,8.431229,8.305094,0.021746382,0.10880296174413821,52.0,7,10,1.0
GPA33,7.906418,7.582441,0.06036181,0.13307280954339779,51.0,7,10,1.0
DDIT4,7.7164493,7.936956,-0.04064864,0.13307280954339779,19.0,7,10,1.0
LGR5,7.8437605,7.6780806,0.030799802,0.16125051419169067,50.0,7,10,1.0
HNF4G,8.50275,8.286716,0.03712899,0.16125051419169067,50.0,7,10,1.0
LUM,8.111135,7.98619,0.02239643,0.16125051419169067,50.0,7,10,1.0
TGFBI,8.245792,8.136917,0.019175842,0.16125051419169067,50.0,7,10,1.0
ALCAM,8.052173,8.1620865,-0.019559933,0.16125051419169067,20.0,7,10,1.0
IL1RL1,7.63171,7.5399513,0.01745122,0.16125051419169067,50.0,7,10,1.0
WTAP,8.567132,8.443535,0.020965192,0.16125051419169067,50.0,7,10,1.0
PRDM1,8.125602,8.047546,0.013925599,0.19323323735088443,49.0,7,10,1.0
ID3,6.7377,6.7723374,-0.0073976777,0.19323323735088443,21.0,7,10,1.0
TLR4,7.541421,7.4673805,0.014234206,0.19323323735088443,49.0,7,10,1.0
ADIPOQ,7.627767,7.547532,0.015255779,0.19323323735088443,49.0,7,10,1.0
CD28,7.608421,7.5293946,0.015063129,0.19323323735088443,49.0,7,10,1.0
TGFA,8.00953,7.8986573,0.020110143,0.19323323735088443,49.0,7,10,1.0
TP63,7.7512355,7.657817,0.017493187,0.19323323735088443,49.0,7,10,1.0
ENST00000343735,5.3150744,6.112052,-0.20156686,0.19323323735088443,21.0,7,10,1.0
CFTR,8.227667,8.014044,0.037952904,0.19323323735088443,49.0,7,10,1.0
CEACAM5,8.265279,8.129847,0.023835385,0.2295351707116413,48.0,7,10,1.0
PTGS2,7.76004,7.5863504,0.03265803,0.2295351707116413,48.0,7,10,1.0
RSPO3,7.5273123,7.3913374,0.026299361,0.2295351707116413,48.0,7,10,1.0
CLDN18,8.595847,8.844564,-0.04115129,0.2295351707116413,22.0,7,10,1.0
FAP,6.883442,6.7758684,0.022724222,0.2295351707116413,48.0,7,10,1.0
PDGFRB,7.9174776,7.818998,0.018057177,0.2295351707116413,48.0,7,10,1.0
GNLY,7.666623,7.6243615,0.007974767,0.2295351707116413,48.0,7,10,1.0
GNL3,8.1935835,8.30572,-0.019610751,0.2295351707116413,22.0,7,10,1.0
CD274,7.9917374,7.913127,0.014261282,0.2295351707116413,48.0,7,10,1.0
APC,8.056137,7.9468203,0.019710505,0.2295351707116413,48.0,7,10,1.0
HNF4A,8.252135,8.057146,0.034498587,0.2295351707116413,48.0,7,10,1.0
ARID1A,8.014583,8.060232,-0.008194036,0.2295351707116413,22.0,7,10,1.0
TNFRSF17,7.4613676,7.358626,0.02000363,0.2295351707116413,48.0,7,10,1.0
WFDC2,7.0633664,6.9836593,0.016372707,0.2295351707116413,48.0,7,10,1.0
ESM1,7.413752,7.4014297,0.0023999123,0.269847799259564,47.0,7,10,1.0
FGFR2,8.50686,8.410123,0.016499722,0.269847799259564,47.0,7,10,1.0
MUC1,8.957467,9.2409725,-0.044953834,0.269847799259564,23.0,7,10,1.0
PLEKHA7,8.243812,8.301442,-0.0100504225,0.269847799259564,23.0,7,10,1.0
RPA1,8.156649,8.181112,-0.0043204757,0.269847799259564,23.0,7,10,1.0
CIAO2A,8.096189,8.106279,-0.0017970476,0.269847799259564,23.0,7,10,1.0
OLFM4,8.24291,8.061213,0.032156907,0.269847799259564,47.0,7,10,1.0
MRC1,8.102224,8.079605,0.0040331976,0.269847799259564,47.0,7,10,1.0
CTLA4,7.6481047,7.5702806,0.014755552,0.269847799259564,47.0,7,10,1.0
CDH17,8.682384,8.343613,0.057419002,0.269847799259564,47.0,7,10,1.0
CD40,6.6433325,6.451721,0.04222296,0.269847799259564,47.0,7,10,1.0
MAPK1,7.0697823,7.228732,-0.032076858,0.269847799259564,23.0,7,10,1.0
TNFRSF9,7.833566,7.732885,0.018662542,0.31478815302344715,46.0,7,10,1.0
