gene,mean_normal,mean_cancer,log2fc,pval,stat,n_normal,n_cancer,qval_bh
PPARG,7.6501427,7.520446,0.02466845,0.03427944604415192,64.0,8,10,0.9686211382333778
TGFBI,8.243435,8.136917,0.018763384,0.0675990675990676,61.0,8,10,0.9686211382333778
CFTR,8.334058,8.014044,0.056488715,0.0675990675990676,61.0,8,10,0.9686211382333778
DMBT1,8.883729,8.538578,0.057169586,0.08313908313908314,60.0,8,10,0.9686211382333778
LGR5,7.8537693,7.6780806,0.032639537,0.10110151286621874,59.0,8,10,0.9686211382333778
DGKG,7.738452,7.628746,0.020599023,0.12198912198912198,58.0,8,10,0.9686211382333778
PDGFRB,7.964102,7.818998,0.026528003,0.12198912198912198,58.0,8,10,0.9686211382333778
CD28,7.601621,7.5293946,0.013773316,0.12198912198912198,58.0,8,10,0.9686211382333778
VCAN,8.006766,7.8192034,0.03419815,0.12198912198912198,58.0,8,10,0.9686211382333778
POSTN,7.691098,7.4982133,0.036642827,0.12198912198912198,58.0,8,10,0.9686211382333778
APC,8.051443,7.9468203,0.01886965,0.14571049865167512,57.0,8,10,0.9686211382333778
DNMT3B,7.742567,7.592158,0.028302021,0.14571049865167512,57.0,8,10,0.9686211382333778
MUC1,9.050005,9.2409725,-0.030126074,0.14571049865167512,23.0,8,10,0.9686211382333778
GNL3,8.163937,8.30572,-0.024840286,0.14571049865167512,23.0,8,10,0.9686211382333778
CSF1R,7.8786573,7.7776237,0.018620439,0.14571049865167512,57.0,8,10,0.9686211382333778
IGHG1,9.055073,8.9502125,0.016804378,0.14571049865167512,57.0,8,10,0.9686211382333778
STMN1,8.175949,8.28821,-0.019674297,0.14571049865167512,23.0,8,10,0.9686211382333778
TFPI,8.131484,7.8577223,0.04940754,0.17281411399058458,56.0,8,10,0.9686211382333778
IL17RA,7.875723,7.837864,0.006951789,0.17281411399058458,56.0,8,10,0.9686211382333778
LUM,8.128418,7.98619,0.02546724,0.17281411399058458,56.0,8,10,0.9686211382333778
IL1RL1,7.6503935,7.5399513,0.020978753,0.17281411399058458,56.0,8,10,0.9686211382333778
FN1,8.308009,8.196291,0.019531684,0.17281411399058458,56.0,8,10,0.9686211382333778
FBLN1,7.6371017,7.3951406,0.04644761,0.17281411399058458,56.0,8,10,0.9686211382333778
FAP,6.9517503,6.7758684,0.036970418,0.17281411399058458,56.0,8,10,0.9686211382333778
ANGPT2,7.8654084,7.784912,0.014841006,0.17281411399058458,56.0,8,10,0.9686211382333778
TP63,7.7611666,7.657817,0.019340284,0.17281411399058458,56.0,8,10,0.9686211382333778
IFNG,7.508218,7.4558983,0.010088404,0.20307143836555602,55.0,8,10,0.9686211382333778
CD9,8.151011,8.445242,-0.051159684,0.20307143836555602,25.0,8,10,0.9686211382333778
CD80,7.9063516,7.8198347,0.015874056,0.20307143836555602,55.0,8,10,0.9686211382333778
OLFM4,8.277612,8.061213,0.038217727,0.20307143836555602,55.0,8,10,0.9686211382333778
RSPO3,7.4951944,7.3913374,0.020130495,0.20307143836555602,55.0,8,10,0.9686211382333778
PTGS2,7.7252407,7.5863504,0.026173882,0.20307143836555602,55.0,8,10,0.9686211382333778
STAT4,7.845069,7.768384,0.014171536,0.20307143836555602,55.0,8,10,0.9686211382333778
FCAR,7.285849,7.109319,0.035385765,0.20307143836555602,55.0,8,10,0.9686211382333778
IL1B,7.9786367,7.738848,0.04402334,0.20307143836555602,55.0,8,10,0.9686211382333778
DDIT4,7.761398,7.936956,-0.03226925,0.20307143836555602,25.0,8,10,0.9686211382333778
CD40,6.6232376,6.451721,0.03785256,0.20307143836555602,55.0,8,10,0.9686211382333778
LPL,7.7466874,7.654925,0.017191226,0.236985236985237,54.0,8,10,0.9686211382333778
FBN1,7.7987757,7.679535,0.022228781,0.236985236985237,54.0,8,10,0.9686211382333778
HNF4A,8.2187195,8.057146,0.02864466,0.236985236985237,54.0,8,10,0.9686211382333778
ENST00000433892,6.069319,6.497679,-0.09838989,0.236985236985237,26.0,8,10,0.9686211382333778
ID3,6.7469645,6.7723374,-0.0054153074,0.236985236985237,26.0,8,10,0.9686211382333778
IL4,6.4056373,6.2648153,0.032070115,0.236985236985237,54.0,8,10,0.9686211382333778
SOX9,8.681663,8.899901,-0.035817973,0.236985236985237,26.0,8,10,0.9686211382333778
TNFRSF17,7.495978,7.358626,0.026680296,0.236985236985237,54.0,8,10,0.9686211382333778
PDCD1LG2,7.209835,7.114772,0.019148689,0.236985236985237,54.0,8,10,0.9686211382333778
PRDM1,8.065102,8.047546,0.0031436828,0.236985236985237,54.0,8,10,0.9686211382333778
CD36,7.557167,7.430911,0.024306431,0.236985236985237,54.0,8,10,0.9686211382333778
ACKR4,8.370399,8.260096,0.019137997,0.236985236985237,54.0,8,10,0.9686211382333778
CD86,7.847591,7.771089,0.014133047,0.236985236985237,54.0,8,10,0.9686211382333778
WT1,7.8826466,7.8170385,0.012057909,0.2742812742812743,53.0,8,10,0.9686211382333778
HOXD8,7.4614286,7.3481154,0.02207754,0.2742812742812743,53.0,8,10,0.9686211382333778
CTTN,8.965805,9.138315,-0.02749509,0.2742812742812743,27.0,8,10,0.9686211382333778
IL10,7.47023,7.3663206,0.02020851,0.2742812742812743,53.0,8,10,0.9686211382333778
GNLY,7.681117,7.6243615,0.010699681,0.2742812742812743,53.0,8,10,0.9686211382333778
GATM,8.4441185,8.264109,0.031087652,0.2742812742812743,53.0,8,10,0.9686211382333778
