gene,mean_normal,mean_metaplasia,log2fc,pval,stat,n_normal,n_metaplasia,qval_bh
CD70,7.2895427,7.2124095,0.015346989,0.151981351981352,41.0,8,7,1.0
IGHG1,9.055073,8.924649,0.020930784,0.151981351981352,41.0,8,7,1.0
TFF3,7.3509827,7.7633166,-0.078735985,0.151981351981352,15.0,8,7,1.0
WEE1,8.1138525,8.170556,-0.010047218,0.151981351981352,15.0,8,7,1.0
MSH6,8.182649,8.24714,-0.011325973,0.1892773892773893,16.0,8,7,1.0
IGHM,7.6106114,7.349547,0.050357018,0.23185703185703188,39.0,8,7,1.0
HNF4G,8.39843,8.50275,-0.017809935,0.23185703185703188,17.0,8,7,1.0
CD9,8.151011,8.350294,-0.034847915,0.23185703185703188,17.0,8,7,1.0
CEACAM5,7.949195,8.265279,-0.05625477,0.23185703185703188,17.0,8,7,1.0
CEACAM6,8.149714,8.38208,-0.040558778,0.280963480963481,18.0,8,7,1.0
ALDH1A1,8.869514,8.542221,0.054243937,0.280963480963481,38.0,8,7,1.0
WTAP,8.478714,8.567132,-0.014966851,0.280963480963481,18.0,8,7,1.0
BEST1,7.3549175,7.24936,0.020855522,0.280963480963481,38.0,8,7,1.0
GPER1,6.8555136,6.7311525,0.026411153,0.280963480963481,38.0,8,7,1.0
CXCR4,7.8441267,7.78389,0.0111216195,0.33566433566433573,37.0,8,7,1.0
CD274,7.9642477,7.9917374,-0.004971114,0.33566433566433573,19.0,8,7,1.0
PGC,9.017045,8.350436,0.11080316,0.33566433566433573,37.0,8,7,1.0
PDGFRA,7.3681808,7.2929068,0.014814451,0.33566433566433573,37.0,8,7,1.0
IL1B,7.9786367,8.054452,-0.013644152,0.33566433566433573,19.0,8,7,1.0
BHLHA15,7.6255302,7.4366007,0.03619441,0.33566433566433573,37.0,8,7,1.0
HLA-A,7.384705,7.879792,-0.093617275,0.33566433566433573,19.0,8,7,1.0
SOX9,8.681663,8.830567,-0.024534822,0.33566433566433573,19.0,8,7,1.0
ATP4A,8.2096615,7.737477,0.08545949,0.33566433566433573,37.0,8,7,1.0
TACSTD2,8.20561,8.338159,-0.023118215,0.33566433566433573,19.0,8,7,1.0
MKI67,1.0248172,0.66903776,0.6152071,0.376759117811582,36.0,8,7,1.0
SNCG,5.7698193,5.6037674,0.042129092,0.39689199689199695,36.0,8,7,1.0
FHL2,8.436255,8.473887,-0.006421224,0.39689199689199695,20.0,8,7,1.0
ENST00000304494,3.5735455,3.8747272,-0.11673865,0.39689199689199695,20.0,8,7,1.0
CSF1R,7.8786573,7.8049088,0.013568031,0.39689199689199695,36.0,8,7,1.0
ALCAM,8.120593,8.052173,0.012206962,0.39689199689199695,36.0,8,7,1.0
FSCN1,6.883917,6.7972746,0.018273203,0.39689199689199695,36.0,8,7,1.0
CBLIF,8.296782,7.833014,0.08298419,0.39689199689199695,36.0,8,7,1.0
CDKN1C,6.8464584,6.7243752,0.025957685,0.39689199689199695,36.0,8,7,1.0
CDH17,8.499762,8.682384,-0.030668816,0.39689199689199695,20.0,8,7,1.0
CXCR5,7.4437947,7.359863,0.016359443,0.39689199689199695,36.0,8,7,1.0
PPARG,7.6501427,7.585893,0.012167568,0.39689199689199695,36.0,8,7,1.0
CPT1A,8.264229,8.175463,0.015579753,0.39689199689199695,36.0,8,7,1.0
MAPK1,7.0745206,7.0697823,0.0009665626,0.39689199689199695,36.0,8,7,1.0
PSCA,7.8069997,7.444592,0.06857543,0.39689199689199695,36.0,8,7,1.0
TAP1,8.554956,8.675323,-0.020156875,0.39689199689199695,20.0,8,7,1.0
GZMH,7.141361,7.0594163,0.016650189,0.39689199689199695,36.0,8,7,1.0
SST,6.544042,6.4452705,0.02194119,0.39689199689199695,36.0,8,7,1.0
MUC13,8.651752,8.797399,-0.024084615,0.39689199689199695,20.0,8,7,1.0
IL4,6.4056373,6.2853503,0.027348882,0.39689199689199695,36.0,8,7,1.0
CCL2,7.1184216,7.0083184,0.022489054,0.39689199689199695,36.0,8,7,1.0
MAL2,8.3596325,8.465964,-0.018234847,0.39689199689199695,20.0,8,7,1.0
LRIG1,8.481482,8.391789,0.0153378,0.39689199689199695,36.0,8,7,1.0
STMN1,8.175949,8.276084,-0.017562097,0.46340326340326343,21.0,8,7,1.0
EGFR,7.5057864,7.4571767,0.009373665,0.46340326340326343,35.0,8,7,1.0
CD80,7.9063516,7.841104,0.011955233,0.46340326340326343,35.0,8,7,1.0
ARID1A,8.034254,8.014583,0.0035366125,0.46340326340326343,35.0,8,7,1.0
TGFBI,8.243435,8.245792,-0.00041255937,0.46340326340326343,35.0,8,7,1.0
IL10RA,7.8431287,7.797087,0.008493935,0.46340326340326343,35.0,8,7,1.0
VWF,6.7665057,6.659913,0.022907726,0.46340326340326343,35.0,8,7,1.0
WNT7A,7.4349575,7.3577185,0.015066023,0.46340326340326343,35.0,8,7,1.0
WRN,8.351973,8.431229,-0.013625923,0.46340326340326343,21.0,8,7,1.0
RPA1,8.153679,8.156649,-0.00052533066,0.46340326340326343,35.0,8,7,1.0
ASCC2,7.812419,7.784214,0.005217965,0.46340326340326343,35.0,8,7,1.0
CD28,7.601621,7.608421,-0.0012899304,0.46340326340326343,21.0,8,7,1.0
PAX6,7.6557016,7.55232,0.01961465,0.46340326340326343,35.0,8,7,1.0
MUC2,8.122348,8.503976,-0.066240646,0.46340326340326343,21.0,8,7,1.0
CFTR,8.334058,8.227667,0.018535716,0.46340326340326343,35.0,8,7,1.0
CHIA,7.521381,7.3531556,0.032633986,0.46340326340326343,35.0,8,7,1.0
IGHA1,8.603435,8.232102,0.063651815,0.46340326340326343,35.0,8,7,1.0
MADCAM1,6.2835417,6.1994476,0.019438194,0.46340326340326343,35.0,8,7,1.0
CD40LG,7.21307,7.3319697,-0.023587435,0.46340326340326343,21.0,8,7,1.0
EZR,9.249882,9.335353,-0.013269623,0.46340326340326343,21.0,8,7,1.0
GPA33,7.8174076,7.906418,-0.0163339,0.46340326340326343,21.0,8,7,1.0
ITGAX,6.8275013,6.759546,0.014431393,0.46340326340326343,35.0,8,7,1.0
GPX2,7.8582044,7.973926,-0.02109058,0.46340326340326343,21.0,8,7,1.0
PDCD1LG2,7.209835,7.1280394,0.016460955,0.5358197358197359,34.0,8,7,1.0
POSTN,7.691098,7.5796485,0.021058755,0.5358197358197359,34.0,8,7,1.0
MRC1,8.0661125,8.102224,-0.006444546,0.5358197358197359,22.0,8,7,1.0
MET,8.437127,8.488623,-0.00877868,0.5358197358197359,22.0,8,7,1.0
TFPI,8.131484,8.0519705,0.014176815,0.5358197358197359,34.0,8,7,1.0
TNFSF9,6.423826,6.386201,0.008474957,0.5358197358197359,34.0,8,7,1.0
