sample_id,stage,patient,mac_M1,mac_M2,m1_m2_ratio,n_cells
A01,control,ctrl,0.00697094995362556,0.23376987717653575,0.16506270414651472,1216
A02,control,ctrl,0.05810106864124477,0.17442303081928756,1.1886512867299106,2245
A03,control,ctrl,0.029053602735643207,0.1627417038260048,0.04437223043180244,1391
A04,control,ctrl,-0.04433690735133468,0.5173489510150122,0.4108918000324039,2238
B01,normal,SNU-105,0.15323286005541226,0.11512118555953267,-0.35966475116641794,614
B02,normal,SNU-105,0.09451164081264385,-0.017863445332890304,2.6485370812012197,562
B03,normal,SNU-105,-0.04153989772481199,0.12399079167944754,1.1936287164846753,507
B04,normal,SNU-105,-0.1268298145928393,-0.16358647513562255,-0.6298468480673534,1703
C01,metaplasia,SNU-105,0.10982154063869205,0.20801893821417114,0.5920054718991946,680
C03,metaplasia,SNU-105,-0.05277542832725622,0.18229301352958893,-0.7106969839848042,236
C04,metaplasia,SNU-105,-0.11866274479442444,-0.2412043927220709,-0.041963331192088366,1645
D01,cancer,SNU-105,0.08689113226700737,0.33117983221598096,-0.22867286856237629,485
D02,cancer,SNU-105,0.04946406478855906,0.1788994871897035,-0.5909910118859651,679
D03,cancer,SNU-105,-0.01678470220321264,0.2877962817013536,-0.6347954094339243,365
D04,cancer,SNU-105,-0.16083990916003588,-0.06699551930408906,0.0969170371279542,2728
E01,normal,SNU-107,0.06913979747159309,0.22190374835844964,-0.7530227398276135,496
E02,normal,SNU-107,-0.02458838870461854,0.21035853954426292,0.6557783322320634,515
E03,normal,SNU-107,0.05887156563419205,0.20115255078557412,-1.4785117388633122,1268
E04,normal,SNU-107,0.11626687634897222,-0.2168373987302408,-1.6443733604739537,888
F01,metaplasia,SNU-107,0.06704521997565896,0.20324387402004668,0.4526574333556524,750
F02,metaplasia,SNU-107,0.09934338468451981,0.14263030484464212,0.5957395152028807,717
F03,metaplasia,SNU-107,0.12055094266081132,0.21838634585079394,0.012998762535714506,1672
F04,metaplasia,SNU-107,0.07715114616872239,-0.15735969972115976,-0.3521381733039919,1125
G01,cancer,SNU-107,0.09129771125328348,0.44735661214210776,0.20017759432316984,2111
G02,cancer,SNU-107,0.039810582834999025,0.13114204059727014,0.25860542744325377,524
G03,cancer,SNU-107,0.05410874094810157,0.029668457939016284,-0.9580268848750746,734
G04,cancer,SNU-107,0.10889561755946482,-0.018896485071866212,0.03436984540851019,739
H01,cancer,SNU-484,0.09446797143462332,0.2988094338036589,-0.06159523847590415,1961
H03,cancer,SNU-484,0.02437394446643311,0.05924925791945088,0.5055774875069762,365
