sample_id,protein,gene,n_cells,protein_mean,protein_std,rna_mean,rna_std,cell_pearson_r,cell_spearman_r,cell_pearson_p,cell_spearman_p,grid_pearson_r,grid_spearman_r,ssim,note,stage,error
A01,CD4,CD4,104475.0,56.417880271256536,32.86252592502093,0.4278953969478607,1.4263697862625122,0.08499066395236887,0.06329142641176846,9.937126763980415e-167,3.4023763821648315e-93,0.48918778277999453,0.44163637442147596,0.24488934721701944,,control,
A01,CD68,CD68,104475.0,46.86285078580705,64.7745871952794,0.7393112182617188,1.801409125328064,0.19308910547997762,0.14379472113849256,0.0,0.0,0.6071530946840424,0.5824853842232827,0.3761822199557819,,control,
A01,FOXP3,FOXP3,104475.0,40.19524067939327,19.164127142468036,0.12007305771112442,0.7571216225624084,0.0005281107720377571,-0.0030995103164331143,0.8644619719354559,0.3164244903240786,0.22555759550686527,0.1880017054166111,0.14797435987956134,,control,
A01,CD3,CD3D,104475.0,76.54262787055924,83.1164980539708,0.4826311469078064,1.4869964122772217,-0.05553660486564624,-0.08996507294214343,3.694574890127051e-72,1.1927932607337541e-186,-0.022074548920775185,0.14487463024482133,0.21980487782514546,,control,
A01,CD8,CD8A,104475.0,17.967497732999867,24.974528692021725,0.4468979239463806,1.4390801191329956,0.055704879627775636,0.014068688101407021,1.3812681505136063e-72,5.427779728593715e-06,0.31385545244700175,0.31331995021529807,0.33710146124220197,,control,
A01,HLA-DR,HLA-DRA,104475.0,20.851025852108453,9.93603157902441,1.018662929534912,2.138275384902954,0.272539311850323,0.22208262812323648,0.0,0.0,0.6819105277060785,0.6163712446997742,0.46880879475299864,,control,
A01,KI67,MKI67,104475.0,32.93971178436612,30.008200007461866,0.00023458416399080306,0.03431601822376251,-0.001167219072626932,0.0022323887936038737,0.7059721606877847,0.47056614419714515,0.024546643242400926,0.03765093972835073,0.10900465795377673,,control,
A01,PD1,PDCD1,104475.0,25.168378898351715,9.45074785262714,0.12373413890600204,0.7735756039619446,0.011331543389090202,0.011771845118712727,0.0002495489517804482,0.00014177448549315493,0.2767497315432106,0.2817636525328666,0.15308236516116755,,control,
A01,PDL1,CD274,104475.0,52.1141032683438,25.79742778361979,0.5516539812088013,1.5833414793014526,0.025426582856143083,0.02717910330046817,2.0390865493390858e-16,1.54279655167422e-18,0.4607007147051668,0.43901020141465824,0.2797754202806238,,control,
A01,aSMA,ACTA2,104475.0,242.5830629149511,337.0268060636338,0.699211835861206,1.8866097927093506,0.25751674682042436,0.26414246843409306,0.0,0.0,0.6411287969866832,0.7920312083105115,0.48595512266509877,,control,
A01,CD31,PECAM1,104475.0,91.94007439163276,219.05718126241774,0.6323630809783936,1.7255361080169678,0.29770578819881854,0.20608064780421242,0.0,0.0,0.5804234243270519,0.6968053275861831,0.5446807114044562,,control,
A01,PanCK,EPCAM,104475.0,169.8799980178163,232.6081883097589,9.269784641219303e-05,0.02119727060198784,0.0026915328584782294,0.001275297752283322,0.38431987570410403,0.6801895141357663,0.017555031666791107,0.008563590548611411,0.21976094763638548,,control,
A01,CD20,MS4A1,104475.0,44.120094580518185,24.520609039309143,0.6353610157966614,1.667082667350769,0.00847841025010928,-0.049907988456495606,0.006135353416173155,1.3050093455642196e-58,0.29328454184741554,0.21031953248281,0.3052025456992069,,control,
A01,CD45,PTPRC,,,,,,,,,,,,,,control,gene_not_found
A01,CD11c,ITGAX,104475.0,27.53959962773997,21.60188939351277,0.20059320330619812,0.9790095686912537,0.03597173096757241,0.03738573125314454,2.879953954465564e-31,1.2204956251559566e-33,0.3155533676064798,0.3866149718637745,0.2723595686726392,,control,
A02,CD4,CD4,101660.0,69.62052297571027,47.25413999265499,0.5251026153564453,1.5764362812042236,0.093493848359308,0.08608840336383396,4.1802012248822796e-196,1.7901590339241963e-166,0.5513687601613856,0.6279674233710052,0.27737066140263267,,control,
A02,CD68,CD68,101660.0,61.61065781203915,86.80664827123323,0.7981192469596863,1.887237548828125,0.13769436882246308,0.10402578208038979,0.0,1.5849040476954381e-242,0.5458131202210703,0.6074750697402709,0.4382213251525739,,control,
A02,FOXP3,FOXP3,101660.0,34.875779015237896,21.753388532097976,0.1288093775510788,0.7987441420555115,0.012123366500474152,0.013904611773664447,0.00011084879749502818,9.270294464340923e-06,0.31827320582087215,0.34490443736772375,0.20865951621191411,,control,
A02,CD3,CD3D,101660.0,73.29980372478883,89.11783955372603,0.5716939568519592,1.6313121318817139,0.05691482077374955,0.01917852236750303,1.0449378716940466e-73,9.631567490904636e-10,0.2996584229450487,0.44139082598397766,0.26411593480392953,,control,
A02,CD8,CD8A,101660.0,28.213793346595285,45.85099251502009,0.5005525946617126,1.5368236303329468,0.05195219704804702,0.032526177606746975,1.047632842312849e-61,3.2793908234731383e-25,0.37203812829925453,0.5307376117046554,0.36859845309746525,,control,
A02,HLA-DR,HLA-DRA,101660.0,28.728062121954142,17.490743945394026,1.583493947982788,2.5200278759002686,0.22220920069841887,0.2507665189706871,0.0,0.0,0.7045586917751389,0.7271800206140563,0.475731270789042,,control,
A02,KI67,MKI67,101660.0,32.89765684644376,28.77726071820669,0.00032184767769649625,0.0391753651201725,0.0037188784380835656,0.0016573613447731373,0.23573175969041774,0.5972011303565725,0.019233813665402978,0.02710578826621982,0.10343589516238208,,control,
A02,PD1,PDCD1,101660.0,20.94684073716755,7.84604671622504,0.14631395041942596,0.8558371067047119,0.022177532097361292,0.023757614175573878,1.5282241080606976e-12,3.56665609972246e-14,0.31633301053870333,0.4044101608822997,0.23628367192271335,,control,
A02,PDL1,CD274,101660.0,44.046206794076724,30.960347813881082,0.6237238049507141,1.6956042051315308,0.025784704211594518,0.031938326270810294,1.99298337432852e-16,2.296019552103855e-24,0.5254328340327705,0.5382576695105498,0.328293210898812,,control,
A02,aSMA,ACTA2,101660.0,151.81545046133144,321.45107481460377,0.4282621443271637,1.4863600730895996,0.2576727848389073,0.20017699388794102,0.0,0.0,0.66532496652494,0.7400451742926075,0.574699103865801,,control,
A02,CD31,PECAM1,101660.0,124.41804954442443,232.84096815924258,0.6697207689285278,1.7748351097106934,0.2456971517996421,0.1648435793940643,0.0,0.0,0.5739544726091059,0.7187590202022589,0.5065563226337224,,control,
A02,PanCK,EPCAM,101660.0,152.18315038945312,220.08980360755245,0.0,0.0,,,,,,,0.2073910212253628,zero_variance_rna,control,
A02,CD20,MS4A1,101660.0,47.01060561397258,18.331697509005867,0.5882834792137146,1.645304560661316,0.0063060981929403985,0.004569541423076662,0.044363280003930104,0.14513022848977822,0.503583474782934,0.4329092976686209,0.29901467605321524,,control,
A02,CD45,PTPRC,,,,,,,,,,,,,,control,gene_not_found
A02,CD11c,ITGAX,101660.0,32.30991453737183,22.18025105934294,0.20928631722927094,1.0128592252731323,0.014069290649342614,0.015349169000859031,7.255819037660529e-06,9.871518673220706e-07,0.36123066854628166,0.47411823902340955,0.28189957197856413,,control,
A03,CD4,CD4,119079.0,44.69954644431579,31.57011014223467,0.44452711939811707,1.4594533443450928,0.08444182626039563,0.08076285946632804,2.531879576895694e-187,1.7633680163432078e-171,0.5869303689291914,0.6110022416381411,0.40612788935368954,,control,
A03,CD68,CD68,119079.0,45.23076823014126,66.56382367174321,0.7840675115585327,1.879149317741394,0.22724103000043677,0.17225562417702975,0.0,0.0,0.7533571035033279,0.7890098406296986,0.5980490127329691,,control,
A03,FOXP3,FOXP3,119079.0,27.694375190614522,16.129134794590716,0.11882079392671585,0.7646355032920837,0.01746345053206337,0.020469592341640624,1.6738958556703933e-09,1.614543050836738e-12,0.4287668893898434,0.4578538630055921,0.21463909062647682,,control,
A03,CD3,CD3D,119079.0,43.40252761267274,58.7979726577198,0.4856950044631958,1.5052565336227417,0.02512023884906095,-0.01846489041615366,4.331649901697114e-18,1.8620392545495515e-10,0.26639240936203634,0.5216403194902028,0.32203637232971366,,control,
A03,CD8,CD8A,119079.0,15.496449177035748,26.22419160312668,0.43479686975479126,1.4310276508331299,0.04126586888970523,0.03481263280939874,4.755732238137307e-46,2.906935355230725e-33,0.39108954472333507,0.5825997116321129,0.5336310041080631,,control,
A03,HLA-DR,HLA-DRA,119079.0,20.501030038034404,11.204689497164459,1.0817543268203735,2.1911745071411133,0.29376406668861027,0.25533303449260564,0.0,0.0,0.7461493226780627,0.7881742595729933,0.6107352185754787,,control,
A03,KI67,MKI67,119079.0,30.57973297127566,26.73366390480912,0.00023066312132868916,0.03272620216012001,0.0008055962037204102,0.0033371648983571657,0.7810193775184275,0.2494961099302756,0.011843195108957016,0.025274389714210196,0.16560706600262334,,control,
A03,PD1,PDCD1,119079.0,16.506364893574688,6.872796570843014,0.12260839343070984,0.7794705629348755,0.011407185793351197,0.01824625913244368,8.269292147632717e-05,3.0376424309894356e-10,0.36689366972964477,0.47908853284612546,0.16752347254681685,,control,
