,CD4,CD68,FOXP3,CD3,CD8,HLA-DR,KI67,PD1,PDL1,aSMA,CD31,PanCK,CD20,CD11c
A01,0.08499066395236887,0.19308910547997762,0.0005281107720377571,-0.05553660486564624,0.055704879627775636,0.272539311850323,-0.001167219072626932,0.011331543389090202,0.025426582856143083,0.25751674682042436,0.29770578819881854,0.0026915328584782294,0.00847841025010928,0.03597173096757241
A02,0.093493848359308,0.13769436882246308,0.012123366500474152,0.05691482077374955,0.05195219704804702,0.22220920069841887,0.0037188784380835656,0.022177532097361292,0.025784704211594518,0.2576727848389073,0.2456971517996421,,0.0063060981929403985,0.014069290649342614
A03,0.08444182626039563,0.22724103000043677,0.01746345053206337,0.02512023884906095,0.04126586888970523,0.29376406668861027,0.0008055962037204102,0.011407185793351197,0.009296375120112964,0.22182730032497142,0.2669661946629342,0.0063795063445112096,0.043745137405887084,0.030921634551553015
A04,0.1972022183931061,0.29676504572093226,0.029327728403755707,0.12545827293875095,0.18053535446262703,0.3767201800698305,0.003351357462042451,0.013767449625228438,0.025110406489045205,0.39358514354447194,0.377826435585935,0.004108620308474374,0.06351110826604886,0.07857927750155558
B01,0.017247507947948087,0.054006047048955404,-0.00017067737305877066,-0.005987949102478336,0.018040460818794214,0.17929589370236576,-0.008430413753850776,-0.012859236115265175,0.002252881616267288,0.15711368522948882,0.07512026604255602,0.009262431803519617,0.04283672602165916,0.022156875558069916
B02,0.017993716424486488,0.020266016278875913,0.0030732565764616526,-0.0009392525544431303,0.023822987806750615,0.13402778573501622,0.0008007173014823861,0.00029374075891474725,-0.0065819227798406335,0.324371391524202,0.08376959719473154,,-0.017359074955633946,0.002308555792006478
B03,0.04216143985636757,0.13212803524418543,0.00550164435574175,0.006857931458101787,0.028153223965563454,0.43545741765836443,-0.0022045504236604925,-5.518199667646495e-05,0.008022173242315848,0.3214449356475288,0.1531493363428918,,0.009925186964707945,0.010158460212505138
B04,0.1055143676436541,0.20669682332191036,0.012453017536855673,0.2228729748851955,0.30249277271660985,0.18826909102073347,-0.0023954930612272093,0.01294148987091656,0.05188640594415633,0.2784579770714528,0.2761793568531682,-0.002094773171896159,0.025993683960306428,0.06045854860358253
C01,0.03302025160398774,0.09016509116654507,0.028800487108164893,0.016071280937423132,0.044823718140131044,0.2740439240828334,-0.004774506037556917,0.010663183198438588,0.02397852121582986,0.27646489828357007,0.1538297829712295,0.0206758840447366,0.04318652603539159,-0.003456212163488799
C03,0.0825020310960673,0.11933979429621101,0.015947061624110026,0.043089763083568815,0.03421407356815867,0.3658168013998587,0.00010923388696745069,0.023670790823894682,0.013714162862435222,0.21492472665250556,0.2170749148858318,,0.027553735033554887,0.0012715802920667165
C04,0.14298199363427513,0.25443397118008976,0.015511749651225173,0.16426433857146186,0.34608075416532347,0.38975176387814847,-0.000641171569240715,0.01669007234519434,0.06824513233525097,0.3701925788932557,0.33408874509993003,-0.001161255462829232,0.0918610103089248,0.06282967303808758
D01,0.061093756218128445,0.0750023363707528,-0.009524265102940473,0.0480868419897616,0.06892829729194544,0.3501902861589473,0.001595166343501529,-0.0033894837051207565,-0.025388114759102118,0.3880292911474291,0.26013162055666994,,0.09748298843668837,-0.01015849215403224
D02,0.02389895726576085,0.05865047756319747,0.0071631159457863965,-0.020240261680750465,0.013493844196247627,0.13976615404882625,0.0007954192756997186,0.009333749324225262,0.02155126330474038,0.29731137010076614,0.13011845996057536,-0.0006680479778703979,0.012976650312075387,0.0078415000071845
D03,0.046722300267412836,0.1095709009795232,0.01940813717936406,-0.009279830345568727,0.03154117037668815,0.390448086589758,,0.0007994453681395698,0.020238711393638427,0.376633889932602,0.18753712409820467,,0.0164419977498563,0.002715464839786001
D04,0.16455069199696337,0.29086898029346575,0.016235279592326082,0.20999045539157027,0.323153809969478,0.2632988693431977,0.0009639494566147321,0.023393466926953228,0.08313506656390189,0.27695865525437435,0.3067943811109446,0.004876827399924226,0.10852132602252051,0.06391486237792217
E01,0.10105643228872407,0.08588591205138302,0.01673782534629592,0.08455164696319492,0.08629029889327164,0.2608716791317238,-0.0006686278835048082,-0.006620787788202636,0.001990780954670528,0.4041450487122047,0.2196408204098365,,0.1366133425314572,0.022677387405605917
E02,0.0237745477871552,0.015391362879223403,0.005336762921030637,0.012484142575335483,0.00703816619247709,0.17399712644581777,0.01457376383782007,0.002964990760462085,0.00785252868153439,0.2048376302204089,0.08615179775752625,0.002861513667701975,0.04390410924381376,0.017787906054678334
E03,0.0908145432761561,0.15315420672754904,-0.0014577595991806705,0.08579588634569466,0.09833674708126985,0.3426934393126674,0.0013234460269403333,0.029824923123081142,-0.0028067204261028236,0.2632984183959857,0.2361133290494109,0.0004029522411592985,0.1621438130347443,0.0008685717525697333
E04,0.26238468808471027,0.29054771096902837,0.03261665140338607,0.14304769429843964,0.2551965796017796,0.2550799507333754,0.00392982113677749,0.03504275842499024,0.11209064135530264,0.27894395433027575,0.26506691341200234,-0.0028585723226500614,0.022961719275120897,0.12280690659924419
F01,0.0331197892817576,0.05169173021761718,0.005029229676899503,0.024151769370672368,0.011097577768531538,0.183807216059787,0.0034716574327128573,0.01474480526799147,0.003844297990776672,0.11161223863822725,0.08757081797824895,0.004787537371026773,0.09147462740622407,-0.009525315483834163
F02,0.05830141554220097,0.04355213107613003,-0.00274717332062856,0.021172714898064708,0.02535078596380132,0.2544916588459186,-0.0026135421464074486,-0.017662079025585465,-0.0020822969971433397,0.13713801241599294,0.07790179535701948,,0.04814980977650303,0.021697924029116127
F03,0.04709099709291818,0.04213707920557215,0.0012328412249866343,0.048374034969117255,0.044505880632489676,0.33584278604186624,-0.0006146779238667172,0.010548329331784444,0.0061175763069620005,0.21994440869018914,0.09875322997802939,-0.0017593496331390426,0.12643663767105848,0.005101906093634441
F04,0.2386900403868152,0.31727740361583656,0.024906153850437214,0.06943397382679749,0.22833696138904688,0.2614151023262777,0.0039022245816516684,0.027752840509761748,0.13145135178348483,0.35150687294806837,0.2470259398598093,0.0032028537311435106,0.12219586067876308,0.13519648255793046
G01,0.20188124773135244,0.280618343762144,0.00698399214115856,0.13646683972241702,0.198008868754383,0.2842194305132466,0.007543693485067886,0.023106952526872494,0.030780025003858735,0.22448243693574826,0.2698540525931688,-0.0013597214890921161,0.012888781112672328,0.09232623348485527
G02,0.140306957262001,0.23227289053664202,0.0028596837480730592,0.026268305668550804,0.052711220909419786,0.2473958968401435,0.002577370953985263,0.007072937946554963,0.014367652738502941,0.17283983910320672,0.28177952985242505,-0.00012539019196745353,0.001310336689280503,0.08807964439109037
G03,0.012643209970695608,0.03009519985864902,0.012455465763181312,0.012504118761617392,0.02232291772712925,0.07413276077687725,-0.001724579429499638,0.0063322924647552774,0.016798144133599,0.1295576609262498,0.10627844203394395,,0.025972605662148693,0.008265784487620047
