,CD4,CD68,FOXP3,CD3,CD8,HLA-DR,KI67,PD1,PDL1,aSMA,CD31,PanCK,CD20,CD11c
A01,0.24488934721701944,0.3761822199557819,0.14797435987956134,0.21980487782514546,0.33710146124220197,0.46880879475299864,0.10900465795377673,0.15308236516116755,0.2797754202806238,0.48595512266509877,0.5446807114044562,0.21976094763638548,0.3052025456992069,0.2723595686726392
A02,0.27737066140263267,0.4382213251525739,0.20865951621191411,0.26411593480392953,0.36859845309746525,0.475731270789042,0.10343589516238208,0.23628367192271335,0.328293210898812,0.574699103865801,0.5065563226337224,0.2073910212253628,0.29901467605321524,0.28189957197856413
A03,0.40612788935368954,0.5980490127329691,0.21463909062647682,0.32203637232971366,0.5336310041080631,0.6107352185754787,0.16560706600262334,0.16752347254681685,0.35154291984576747,0.544749269831217,0.5040881792890123,0.2840056044920869,0.46659390201071366,0.3111926976138427
A04,0.3955113177143634,0.5031037344259026,0.07674370592345117,0.1951261091789657,0.33032769691195046,0.520727370558399,0.019792495969003978,0.08256868392916096,0.20681587006959626,0.6124018613028752,0.6047506052418979,0.09905537160041726,0.16760740334171248,0.15999068828572238
B01,0.41243684948049214,0.4329617741921206,0.24600087497602036,0.4357495981947814,0.4189617236054987,0.48730462535239566,0.2870806802679781,0.2684060938768966,0.31137095059090786,0.53863226442292,0.48679639301247424,0.44779146048032137,0.37911635644619207,0.3510020522986645
B02,0.605585801643503,0.6920269909316701,0.5489130907757903,0.6496692702911723,0.7084312439962187,0.631922786545509,0.5430518490047727,0.5758747340164142,0.6295069840430232,0.7849299383044895,0.6924986935872157,0.5678540218432506,0.6199136105818114,0.6072537656425642
B03,0.5486275662230522,0.677553773481771,0.5110011522478106,0.5444191074021164,0.5765947488042812,0.6975490338238224,0.4539999261388608,0.48426191590534245,0.5722529938606443,0.7450319111197685,0.6495516650123103,0.6250102355776972,0.5388832918631012,0.5341790710499829
B04,0.27233347157559634,0.49699442237987634,0.20737547730733577,0.28507749172675484,0.5040604105319798,0.6387479548161837,0.21335011504155937,0.18527247820535309,0.22156802294174707,0.6111218957006482,0.6450909047214387,0.30054189389339747,0.19442179342414298,0.2209998878024194
C01,0.6901642361161927,0.7029702426742193,0.6428915386500713,0.595236926964888,0.6786280324121725,0.7027834684492831,0.5494103325694126,0.6031100549387698,0.713882983054498,0.774583129450396,0.7370860648331695,0.6436857950459031,0.6428414695640118,0.6878167617080505
C03,0.5977337655315929,0.6681906087426314,0.531556429322791,0.6327139526380012,0.6228188961169935,0.7697244988460712,0.5566245549466187,0.5087978573116656,0.6361460820475311,0.6798599316670865,0.6508590524975459,0.6003800035836725,0.5488060103202215,0.645633466880593
