protein,gene,spearman_r_mean,spearman_r_std,spearman_r_min,spearman_r_max,pearson_r_mean,pearson_r_std,n_cells_mean
CD11c,ITGAX,0.048,0.035,-0.029,0.124,0.033,0.037,72155.062
CD20,MS4A1,0.03,0.036,-0.075,0.101,0.062,0.089,72155.062
CD3,CD3D,0.037,0.089,-0.11,0.219,0.037,0.069,72149.344
CD3,CD3E,0.029,0.083,-0.113,0.212,0.027,0.063,72149.312
CD31,PECAM1,0.16,0.074,0.019,0.304,0.209,0.09,72155.062
CD4,CD4,0.103,0.071,0.01,0.278,0.076,0.057,72155.094
CD68,CD68,0.167,0.106,0.03,0.37,0.167,0.117,72155.062
CD8,CD8A,0.091,0.092,-0.006,0.366,0.102,0.094,72155.0
FOXP3,FOXP3,0.014,0.013,-0.01,0.043,0.002,0.007,72155.094
HLA-DR,HLA-DRA,0.313,0.12,0.065,0.533,0.27,0.096,72154.938
KI67,MKI67,0.003,0.005,-0.01,0.009,0.002,0.004,72155.0
PD1,PDCD1,0.021,0.014,-0.011,0.051,0.008,0.008,72155.094
PDL1,CD274,0.025,0.035,-0.033,0.114,0.011,0.03,72155.094
aSMA,ACTA2,0.18,0.071,0.061,0.311,0.202,0.065,72154.875
