protein,gene,spearman_r,spearman_p,pearson_r,pearson_p,n_cells,sample_id
CD3,CD3D,-0.11018764082405706,0.0,-0.07083838415526489,7.93151086607036e-142,127792,A01
CD3,CD3E,-0.11285785754610388,0.0,-0.07658356316950653,1.7153017135196694e-165,127792,A01
CD4,CD4,0.06009986741575478,1.4365505259083074e-102,0.06434823478627939,2.5097114257390973e-117,127792,A01
CD8,CD8A,0.00543207808698601,0.052154658581956545,0.05691689664487137,3.563570093152156e-92,127792,A01
CD20,MS4A1,-0.07499302782476051,9.377595012302522e-159,-0.008987095970225215,0.001314747290832457,127792,A01
CD68,CD68,0.1416007659246843,0.0,0.23207399007478793,0.0,127792,A01
CD31,PECAM1,0.19451279412202996,0.0,0.295934752785596,0.0,127792,A01
CD11c,ITGAX,0.03796858304518616,5.4249890320418376e-42,0.03402495679541556,4.679087893588964e-34,127792,A01
HLA-DR,HLA-DRA,0.21833026990714635,0.0,0.2490912720793282,0.0,127792,A01
aSMA,ACTA2,0.19395543847695848,0.0,0.1458195055376044,0.0,127792,A01
KI67,MKI67,0.0037438861915445034,0.18078031905755512,-0.0005035278546034939,0.8571530210916682,127792,A01
PD1,PDCD1,0.010692550527655772,0.00013213464855478814,0.001206639743251892,0.6662171008504457,127792,A01
PDL1,CD274,0.02170797869463808,8.425682427847943e-15,0.0041508287962024465,0.13785390853738286,127792,A01
FOXP3,FOXP3,-0.009524872764924938,0.0006616499844136753,-0.008577641549676204,0.0021668058243374077,127792,A01
CD3,CD3D,-0.06289673303538876,7.454417216494605e-28,-0.03761463313721297,6.229695820687859e-11,30194,B01
CD3,CD3E,-0.05916441819939751,7.8790854348102995e-25,-0.033216880918300884,7.775275535324151e-09,30194,B01
CD4,CD4,0.06076171830775286,4.2140750379549125e-26,0.019460518854171657,0.000720330382884278,30194,B01
CD8,CD8A,0.03957320382892508,6.0352007590779805e-12,0.02768731735416243,1.4958600434473811e-06,30194,B01
CD20,MS4A1,0.05291214768811728,3.569464895280859e-20,0.02689326305176009,2.957661074794629e-06,30194,B01
CD68,CD68,0.09203204416983375,8.517442696194831e-58,0.06632097076345057,8.643280312280912e-31,30194,B01
CD31,PECAM1,0.10322674851428099,2.580239748344103e-72,0.08640085206193888,3.9621155099933986e-51,30194,B01
CD11c,ITGAX,0.05397299700275135,6.2900031399593015e-21,0.026483376747160274,4.17490370607361e-06,30194,B01
HLA-DR,HLA-DRA,0.16991767419911596,2.2742820174911403e-194,0.22104641296382882,0.0,30194,B01
aSMA,ACTA2,0.06183162536319497,5.676546842062051e-27,0.09652666432520825,2.0118324853677189e-63,30194,B01
KI67,MKI67,-0.009592444610796292,0.09555559677575341,-0.006446531727293073,0.2626533647252482,30194,B01
PD1,PDCD1,0.01372040916039051,0.01711957499420216,-0.0008860528953103952,0.8776429024498908,30194,B01
PDL1,CD274,0.024275037926067958,2.458460715076543e-05,-0.00305528321313862,0.5955032354385525,30194,B01
FOXP3,FOXP3,0.015294390223639497,0.00786845276614314,0.0001702580150251785,0.9763992050606044,30194,B01
CD3,CD3D,-0.017684915970237535,0.0005126393879181754,-8.474218436440271e-05,0.9867193151188239,38586,C01
CD3,CD3E,-0.027196669016187617,9.134826124398293e-08,-0.003179159970770311,0.5323164079635221,38586,C01
CD4,CD4,0.06018758933421627,2.6201000814066813e-32,0.03349621419497959,4.6549851647468634e-11,38588,C01
CD8,CD8A,0.06686061376901957,1.7410700389957434e-39,0.05580718183125263,5.276702987532627e-28,38588,C01
CD20,MS4A1,0.05590886686701102,4.227701861120674e-28,0.03153990741486908,5.755453662808246e-10,38588,C01
CD68,CD68,0.11129653267571263,1.3339351178208445e-106,0.10531696597891128,1.3510429535627265e-95,38588,C01
CD31,PECAM1,0.11115972918453117,2.4202066709032136e-106,0.18025336198091096,3.911154851173969e-279,38588,C01
CD11c,ITGAX,0.022553664199905007,9.387405630048486e-06,0.0009842280568976324,0.846697513394426,38588,C01
HLA-DR,HLA-DRA,0.2825933317843444,0.0,0.25102359163878557,0.0,38588,C01
aSMA,ACTA2,0.15640452538634694,8.023460261586187e-210,0.23822973213386534,0.0,38587,C01
KI67,MKI67,-0.003984941490923427,0.4337605288966284,-0.0039022199283011713,0.4433648870855364,38588,C01
PD1,PDCD1,0.021212886160776382,3.081518667282121e-05,0.01725942949538327,0.0006975114684494278,38588,C01
PDL1,CD274,0.03843276983927814,4.2792434018238714e-14,0.0006073201555479907,0.9050399996080872,38588,C01
FOXP3,FOXP3,0.025725794104374537,4.321904075460424e-07,0.01481967391872253,0.003600240152148221,38588,C01
CD3,CD3D,0.02989271258873533,1.0161407234989959e-07,0.044656888896132514,1.7845861924686917e-15,31707,D01
CD3,CD3E,0.028431241986225406,4.117980326580092e-07,0.035189101434286066,3.6659153781779876e-10,31707,D01
CD4,CD4,0.11379572769400528,7.186302942076007e-92,0.0779993939485053,5.523664951011094e-44,31708,D01
CD8,CD8A,0.10606518051943167,5.3653606374462106e-80,0.08444457982152448,2.819878875430911e-51,31709,D01
CD20,MS4A1,0.045546846535379264,4.885937680157427e-16,0.06992095149541493,1.1527897580498119e-35,31708,D01
CD68,CD68,0.17674701648275928,7.806981981422042e-221,0.11866312575103002,8.742787691214981e-100,31708,D01
CD31,PECAM1,0.2682786343667741,0.0,0.2855295515182202,0.0,31708,D01
CD11c,ITGAX,0.061203335230400245,1.054189214291098e-27,0.027019679886893674,1.494176262909914e-06,31708,D01
HLA-DR,HLA-DRA,0.47983001237166545,0.0,0.3648948961659917,0.0,31708,D01
aSMA,ACTA2,0.29539547081634426,0.0,0.32521983027340134,0.0,31707,D01
KI67,MKI67,0.008397098041880404,0.13485785693281135,0.0026224569564621365,0.6405310057163517,31708,D01
PD1,PDCD1,0.014436270291910512,0.010149253002514142,-0.00017990010630989002,0.9744452658763084,31709,D01
PDL1,CD274,-0.030122776215523273,8.096043138882928e-08,-0.027818572950497833,7.2545381354916e-07,31709,D01
FOXP3,FOXP3,0.008839959506712743,0.11546383532296016,-0.002763707756683953,0.6226376516173336,31709,D01
CD3,CD3D,0.06069069352141719,2.1212808047668175e-29,0.06580422870981445,2.808668486693028e-34,34347,E01
CD3,CD3E,0.05872111789417594,1.2596633331092742e-27,0.06201752995980108,1.2521660981214107e-30,34348,E01
CD4,CD4,0.10200417210447384,4.03122133873975e-80,0.08830544326696112,1.9610505972656977e-60,34353,E01
CD8,CD8A,0.0737086050205388,1.3428220462222221e-42,0.08721850931331318,5.394696048957166e-59,34353,E01
CD20,MS4A1,0.1009198745562942,1.8551446642105992e-78,0.12451084484570851,9.822296222245615e-119,34353,E01
CD68,CD68,0.10807817305538565,9.034238106659117e-90,0.08664091262667778,3.0874112157219904e-58,34353,E01
CD31,PECAM1,0.1455541597568015,5.508965606498982e-162,0.2533184112675243,0.0,34353,E01
CD11c,ITGAX,0.029602727601388434,4.0711119723207935e-08,0.023416678183019766,1.4208382930808885e-05,34353,E01
HLA-DR,HLA-DRA,0.3344320113854179,0.0,0.2506559204416511,0.0,34353,E01
aSMA,ACTA2,0.26180699584963574,0.0,0.37087671884296836,0.0,34353,E01
KI67,MKI67,0.00485887939321231,0.3678305153378467,-0.0007065271315116645,0.895817263597194,34353,E01
PD1,PDCD1,-0.000490322317607471,0.9275912841257502,-0.006791208887891034,0.20814248585963935,34353,E01
PDL1,CD274,-0.00428065974957037,0.427558607022396,-0.009417242189721078,0.08091182018350838,34353,E01
FOXP3,FOXP3,0.018274064650090262,0.0007061569462671683,0.0067907093666945,0.2081759419045688,34353,E01
