sample_id,software,software_version,total_tissue_area_mm^2,number_cells,median_cell_area_um^2,median_transcripts_per_cell,median_unique_genes_per_cell,pct_empty_cells,ncp_fdr_pct,ncs_fdr_pct,pct_transcripts_in_cells,total_transcripts,total_ncp,total_ncs,median_transcripts_per_100um^2,pct_q20
A01,caretta,25.08.0,14.71833203125,127792,84.9609375,42.0,28.0,0.7684362088393639,0.3902684061194347,0.025378512609657,94.11768936201,9256166,529,86,47.0,91.1563209716207
B01,caretta,25.08.0,5.007166015625,30194,102.63671875,69.0,36.0,2.215671987812148,0.6439655332530386,0.0429310355502025,89.50243035691247,2799376,264,44,55.0,89.7680238198311
C01,caretta,25.08.0,6.061884765625,38588,88.671875,47.0,29.0,1.7362910749455789,0.8820673219899525,0.0609824321375769,89.70969640855627,2508102,324,56,39.0,89.25326153426654
D01,caretta,25.08.0,4.608001953125,31711,90.4296875,64.0,35.0,11.913846930087352,0.9460684708246766,0.0270305277378479,88.16866528617076,2627133,364,26,57.0,89.73759696870398
E01,caretta,25.08.0,5.45520703125,34353,84.1796875,60.0,35.0,0.6287660466334818,1.0322559332108414,0.032136269618828,89.05768211668794,2804629,424,33,58.0,89.03377650453498
F01,caretta,25.08.0,7.9378681640625,62875,87.59765625,34.0,26.0,1.517296222664016,1.3631010935604488,0.070593310467185,93.75222279711316,2940220,587,76,32.0,90.78939896622884
G01,caretta,25.08.0,17.784279296875,158727,86.1328125,81.0,46.0,0.0825316423796833,0.6695879804325743,0.0528417593842341,95.2193560577952,15816882,1551,306,89.0,88.13019798860073
H01,caretta,25.08.0,9.83862109375,85842,91.015625,84.0,42.0,0.2481302858740476,1.0598745633147908,0.0258288759127133,93.94381591659928,9199621,1428,87,88.0,89.40822089794129
A02,caretta,25.08.0,14.7032568359375,120260,92.08984375,48.0,32.0,1.446033593879927,0.1312938695239972,0.0214357337998362,95.19886376393254,7645904,147,60,45.0,92.8718926523562
B02,caretta,25.08.0,6.8577421875,37511,114.0625,64.0,38.0,1.591533150275919,0.2477185995564735,0.0172325982300155,87.12838916040666,3170213,115,20,44.0,91.45977034697768
C02,caretta,25.08.0,10.80895703125,52588,119.62890625,55.0,35.0,1.32729900357496,0.2643998253519714,0.0197068192808922,83.05633739946973,4158268,161,30,32.0,92.3815769254909
D02,caretta,25.08.0,10.9749306640625,56035,100.9765625,48.0,32.0,1.413402337824574,0.3018981442964191,0.0412531625746659,86.93117995267727,3641727,161,55,28.0,90.22782619058016
E02,caretta,25.08.0,5.90540625,31790,84.765625,51.0,33.0,0.9814407046240956,0.4867850123632683,0.0406151912155855,89.40742459290159,2286550,163,34,49.0,90.00707118015242
F02,caretta,25.08.0,5.4806591796875,33857,92.08984375,56.0,35.0,0.6911421567179608,0.3181687589504895,0.0535331562678601,83.93565337997069,2704282,126,53,50.0,90.38987805703243
G02,caretta,25.08.0,11.302162109375,79634,96.6796875,89.0,50.0,0.163246854358691,0.1978913780564006,0.0456347377154973,89.717835710006,9696775,281,162,87.0,87.9231136187719
H02,caretta,25.08.0,11.7068134765625,87215,93.45703125,109.0,55.0,0.1009000745284641,0.1997147348622262,0.0371208909363485,91.39227174640456,12583076,368,171,110.0,87.20208779432619
A03,caretta,25.08.0,15.1072978515625,145070,80.17578125,48.0,31.0,0.8030605914386159,0.2156994094862021,0.0124101030115349,95.72525222731367,9244553,292,42,58.0,93.45441431571852
B03,caretta,25.08.0,6.4802783203125,38095,91.9921875,57.0,33.0,2.884893030581441,0.3665294572799742,0.0254534345333315,92.22850506435152,2682835,144,25,41.0,91.28484340686782
C03,caretta,25.08.0,5.943373046875,21231,109.765625,47.0,30.0,4.540530356554095,0.5141193711845115,0.0432942628365904,94.7665836331765,1261792,95,20,18.0,89.55755059604233
D03,caretta,25.08.0,7.3825771484375,33227,96.09375,48.0,31.0,4.354892105817558,0.4783398085371118,0.0293288641730783,92.62043169331272,1955765,137,21,21.0,91.80841986110904
E03,caretta,25.08.0,13.67126171875,86003,106.4453125,63.0,41.0,0.1162750136623141,0.2720066442788721,0.0323576677209067,92.02518103008364,6753331,269,80,46.0,91.4768689070255
F03,caretta,25.08.0,12.065423828125,82704,94.62890625,50.0,33.0,1.1837396014703037,0.3967138137134796,0.0301794557671604,93.34449985014604,5611487,326,62,41.0,90.56253034859115
G03,caretta,25.08.0,7.107984375,45583,102.24609375,67.0,40.0,0.3948840576530724,0.7799527069119341,0.0369084763092254,92.02528290514812,3922130,448,53,58.0,92.0059011413513
H03,caretta,25.08.0,6.1852353515625,35585,123.73046875,126.0,36.0,0.27539693691162,0.9157812881000292,0.0124475126537868,81.87648184648785,6143883,824,28,104.0,90.93539428470064
A04,caretta,25.08.0,16.63450390625,130891,93.84765625,65.0,38.0,0.376649273059263,0.1148977716370941,0.0106773686773865,94.19265051647524,11768261,198,46,65.0,91.71701078429248
B04,caretta,25.08.0,8.654251953125,119211,56.15234375,67.0,29.0,0.3187625303034116,0.0538281801436388,0.0369523182607683,97.04791358557642,9388159,74,127,122.0,87.58346505672982
C04,caretta,25.08.0,7.29915625,89387,55.2734375,74.0,33.0,0.316600847998031,0.0539656494286729,0.0316830586968338,96.17584427771595,7845733,62,91,132.0,88.43667878936809
D04,caretta,25.08.0,11.041486328125,169683,53.7109375,75.0,32.0,0.1379042096143986,0.0464699181932105,0.0356888971723857,97.7403965806519,14695595,100,192,146.0,86.83409174281212
E04,caretta,25.08.0,6.3636279296875,68014,69.62890625,67.0,34.0,0.2646513953009674,0.0647935242845479,0.0139186089203843,93.2447281595944,5691458,54,29,95.0,92.47073859258856
F04,caretta,25.08.0,6.7970205078125,78831,64.55078125,62.0,30.0,0.2638555898060407,0.1055641450318673,0.0189135759848762,94.75387329734755,6210303,96,43,96.0,92.0693084324755
G04,caretta,25.08.0,5.66724609375,64147,66.30859375,53.0,29.0,0.2759287262069933,0.1168076657376533,0.0136275610027262,95.23829338162024,4209391,72,21,73.0,93.52652249064256
H04,caretta,25.08.0,3.64494140625,32334,68.9453125,25.0,11.0,1.3855384425063402,0.6439550842310987,0.025298235451936,93.7527186341754,1187641,112,11,25.0,94.8323909463496
